company,headline,source
Zomato,"Zomato IPO subscribed 38 times, massive investor interest signals blockbuster listing",Economic Times
Zomato,"Zomato IPO: Should you invest? Analysts say strong buy for long term",Moneycontrol
Zomato,"Zomato may take years to turn profitable, experts warn investors",Business Standard
Zomato,"Zomato IPO listing at 51% premium, beats all market expectations",NDTV Profit
Zomato,"Zomato faces heavy competition from Swiggy, profitability uncertain",Mint
Zomato,"Zomato IPO: Biggest tech listing India has seen in years",Times of India
Zomato,"Zomato delivery workers protest poor wages ahead of IPO",The Hindu
Zomato,"Strong debut for Zomato but long term outlook unclear say analysts",Livemint
Paytm,"Paytm IPO: India's biggest ever IPO opens today with great fanfare",Economic Times
Paytm,"Paytm IPO subscribed only 1.89 times, weak demand from institutional investors",Moneycontrol
Paytm,"Analysts warn Paytm valuation is extremely stretched at current price",Business Standard
Paytm,"Paytm crashes 27% on listing day, worst stock market debut in India history",NDTV Profit
Paytm,"Paytm faces serious RBI regulatory risk, business model questioned by experts",Mint
Paytm,"Paytm IPO: Is this India's most overhyped listing ever",Economic Times
Paytm,"Paytm has no clear path to profitability say top market analysts",Livemint
Paytm,"Paytm fails to impress investors, subscription numbers disappoint badly",Business Insider
Nykaa,"Nykaa IPO subscribed 81 times, massive retail investor frenzy grips market",Economic Times
Nykaa,"Nykaa lists at 78% premium, Falguni Nayar becomes youngest self-made billionaire",Moneycontrol
Nykaa,"Nykaa business model is unique and profitable say top analysts",Business Standard
Nykaa,"Nykaa IPO: Best bet in beauty and personal care space for investors",NDTV Profit
Nykaa,"Nykaa faces stiff competition from Reliance and Tata in beauty space",Mint
Nykaa,"Nykaa bonus share controversy seriously hurts investor confidence",Economic Times
Nykaa,"Nykaa stock down 70% from peak, should you hold or sell now",Livemint
Nykaa,"Nykaa promoter stake dilution raises serious governance concerns among investors",Business Standard
LIC,"LIC IPO: India's largest IPO ever, government bets big on public offering",Economic Times
LIC,"LIC IPO subscribed 2.95 times, policyholders show strong support for listing",Moneycontrol
LIC,"LIC lists below issue price, disappoints retail investors on day one",NDTV Profit
LIC,"LIC embedded value concerns raised by foreign institutional investors",Mint
LIC,"LIC stock recovers slowly, long term story remains intact say analysts",Business Standard
LIC,"LIC IPO a big opportunity for small investors say financial experts",Times of India
Delhivery,"Delhivery IPO opens today, logistics sector places big bet on growth",Economic Times
Delhivery,"Delhivery IPO: Flat listing disappoints investors after huge pre-IPO hype",Moneycontrol
Delhivery,"Delhivery loss-making company with highly uncertain profitability path",Business Standard
Delhivery,"Delhivery competes directly with Amazon and Flipkart logistics units",Mint
Delhivery,"Delhivery IPO: Long term play on India ecommerce growth story",NDTV Profit
PolicyBazaar,"PolicyBazaar IPO subscribed 16 times, fintech boom continues strongly",Economic Times
PolicyBazaar,"PolicyBazaar strong listing but profitability still many years away",Moneycontrol
PolicyBazaar,"PolicyBazaar faces significant regulatory risk in insurance distribution",Business Standard
Nazara Technologies,"Nazara IPO subscribed 175 times, India gaming sector absolutely on fire",Economic Times
Nazara Technologies,"Nazara lists at 79% premium, best performing IPO of entire 2021",Moneycontrol
Nazara Technologies,"Nazara acquisition strategy raises serious sustainability questions for investors",Business Standard
Nazara Technologies,"India gaming sector set to boom, Nazara leads the charge confidently",NDTV Profit
Go Fashion,"Go Fashion IPO subscribed 35 times, retail investor frenzy at peak",Economic Times
Go Fashion,"Go Fashion lists at 90% premium, women's wear brand shines bright",Moneycontrol
Go Fashion,"Go Fashion strong fundamentals and profitable business model impresses analysts",Business Standard
Adani Wilmar,"Adani Wilmar IPO subscribed 17 times, FMCG giant makes strong debut",Economic Times
Adani Wilmar,"Adani Wilmar lists with modest 5% gain, steady and stable debut",Moneycontrol
Adani Wilmar,"Adani group controversies may negatively affect Adani Wilmar long term",Business Standard
Ixigo,"Ixigo IPO subscribed 98 times, travel tech giant finally arrives at market",Economic Times
Ixigo,"Ixigo lists at 48% premium, strong debut for India travel platform",Moneycontrol
Ixigo,"Ixigo profitable unlike most new age tech companies, strong fundamentals",Business Standard
Ixigo,"Ixigo faces intense competition from MakeMyTrip and Cleartrip daily",Mint
Swiggy,"Swiggy IPO opens today, food delivery giant finally goes public after wait",Economic Times
Swiggy,"Swiggy IPO subscribed 3.59 times, cautious but steady investor interest",Moneycontrol
Swiggy,"Swiggy still loss making company with very unclear profitability timeline",Business Standard
Swiggy,"Swiggy versus Zomato battle heats up after both companies get listed",NDTV Profit
Hyundai India,"Hyundai India IPO: Largest IPO of entire 2024 opens for subscription today",Economic Times
Hyundai India,"Hyundai India lists below issue price, seriously disappoints retail investors",Moneycontrol
Hyundai India,"Hyundai India IPO: Premium valuation leaves absolutely no upside for investors",Business Standard
Hyundai India,"Hyundai India strong brand but EV transition risk remains a concern",Mint
Bajaj Housing Finance,"Bajaj Housing Finance IPO subscribed 63 times, record breaking demand seen",Economic Times
Bajaj Housing Finance,"Bajaj Housing Finance lists at 114% premium, massive wealth creation event",Moneycontrol
Bajaj Housing Finance,"Bajaj Housing Finance: Safest bet in entire housing finance sector",Business Standard
Bajaj Housing Finance,"Bajaj Housing Finance strong parentage gives investors massive confidence",NDTV Profit
Mamaearth,"Mamaearth IPO opens for subscription, D2C beauty brand bets on India growth",Economic Times
Mamaearth,"Mamaearth IPO subscribed 4 times, lukewarm and disappointing investor response",Moneycontrol
Mamaearth,"Mamaearth profitability concerns raised by analysts before IPO listing",Business Standard
Mamaearth,"Mamaearth flat listing disappoints investors who expected a strong premium",NDTV Profit
Mamaearth,"Mamaearth brand strong but valuations look extremely stretched say analysts",Mint
Tata Technologies,"Tata Technologies IPO subscribed 69 times, Tata brand fuels massive frenzy",Economic Times
Tata Technologies,"Tata Technologies lists at 140% premium, best IPO debut of entire 2023",Moneycontrol
Tata Technologies,"Tata Technologies strong fundamentals, company profitable from very first day",Business Standard
Tata Technologies,"Tata Technologies IPO: EV and engineering services to drive future growth",NDTV Profit
Tata Technologies,"Tata Technologies long term outlook extremely positive say top analysts",Mint
IREDA,"IREDA IPO subscribed 38 times, green energy sector booms in India",Economic Times
IREDA,"IREDA lists at 56% premium, renewable energy investment bet pays off well",Moneycontrol
IREDA,"IREDA backed by government directly, very low risk and high growth say experts",Business Standard
IREDA,"IREDA IPO: Best way to play India green energy revolution for investors",NDTV Profit
Waaree Energies,"Waaree Energies IPO subscribed 76 times, solar sector absolutely on fire",Economic Times
Waaree Energies,"Waaree Energies lists at 70% premium, massive wealth creation for investors",Moneycontrol
Waaree Energies,"Waaree Energies largest solar panel maker in India, strong competitive moat",Business Standard
Waaree Energies,"Waaree Energies order book massive, growth visibility extremely high for years",NDTV Profit
Waaree Energies,"Waaree Energies IPO: Should you apply, top analysts say strong yes",Mint
Premier Energies,"Premier Energies IPO subscribed 74 times, solar sector boom continues",Economic Times
Premier Energies,"Premier Energies lists at 120% premium, absolutely stunning stock market debut",Moneycontrol
Premier Energies,"Premier Energies strong order pipeline strongly supports long term growth",Business Standard
JSW Infrastructure,"JSW Infrastructure IPO subscribed 37 times, port sector places big bet",Economic Times
JSW Infrastructure,"JSW Infrastructure lists at 27% premium, solid and stable market debut",Moneycontrol
JSW Infrastructure,"JSW Infrastructure strong parentage, long term growth fully assured say analysts",Business Standard
JSW Infrastructure,"JSW group backing makes this IPO very safe investment say top analysts",Mint
Signature Global,"Signature Global IPO subscribed 11 times, real estate revival plays out",Economic Times
Signature Global,"Signature Global lists at 22% premium, affordable housing theme wins big",Moneycontrol
Signature Global,"Signature Global strong land bank in NCR region attracts investor interest",Business Standard
Ideaforge Technology,"Ideaforge IPO subscribed 106 times, India drone sector absolutely explodes",Economic Times
Ideaforge Technology,"Ideaforge lists at 94% premium on strong listing day one performance",Moneycontrol
Ideaforge Technology,"Ideaforge faces serious Chinese competition and severe price pressure issues",Business Standard
Ideaforge Technology,"Ideaforge stock crashes badly 55% in six months after strong listing",Mint
Ideaforge Technology,"Ideaforge Defence orders delayed significantly, revenue seriously disappoints investors",NDTV Profit
One Mobikwik,"MobiKwik IPO subscribed 119 times, fintech euphoria strongly returns to market",Economic Times
One Mobikwik,"MobiKwik lists at 58% premium after massive overwhelming subscription numbers",Moneycontrol
One Mobikwik,"MobiKwik loss making company with very uncertain profit timeline ahead",Business Standard
One Mobikwik,"MobiKwik faces extremely stiff competition from PhonePe and Google Pay",Mint
One Mobikwik,"MobiKwik stock falls badly 50% from listing price within just weeks",NDTV Profit
Senores Pharmaceuticals,"Senores Pharma subscribed 215 times, highest subscription ratio of entire 2024",Economic Times
Senores Pharmaceuticals,"Senores Pharma lists at 74% premium, pharma sector shines brightly",Moneycontrol
Senores Pharmaceuticals,"Senores Pharma small niche company with focused generics business approach",Business Standard
Emcure Pharmaceuticals,"Emcure Pharma IPO subscribed 67 times, healthcare sector boom continues strongly",Economic Times
Emcure Pharmaceuticals,"Emcure Pharma lists at 31% premium, strong brand recall drives investor interest",Moneycontrol
Emcure Pharmaceuticals,"Emcure Pharma promoter sold large shares worth crores at listing day",Business Standard
NTPC Green Energy,"NTPC Green Energy IPO subscribed 2.5 times, PSU discount factor plays out",Economic Times
NTPC Green Energy,"NTPC Green lists very near issue price, flat and disappointing debut",Moneycontrol
NTPC Green Energy,"NTPC Green Energy long term story intact despite very flat listing performance",Business Standard
Afcons Infrastructure,"Afcons IPO subscribed 2.6 times, infrastructure theme partially plays out",Economic Times
Afcons Infrastructure,"Afcons lists below issue price, construction sector headwinds cause concern",Moneycontrol
Afcons Infrastructure,"Afcons order book strong but profit margins remain severely under pressure",Business Standard
Yatra Online,"Yatra Online IPO subscribed just 2 times, very weak investor response",Economic Times
Yatra Online,"Yatra Online lists below issue price, travel tech sector not exciting investors",Moneycontrol
Yatra Online,"Yatra Online faces intense competition from MakeMyTrip dominating market",Business Standard
Carraro India,"Carraro India IPO subscribed 1.9 times, auto components sector remains weak",Economic Times
Carraro India,"Carraro India lists below issue price, seriously disappoints all investors",Moneycontrol
Carraro India,"Carraro India parent company Italy based, significant currency risk exists",Business Standard
Muthoot Microfin,"Muthoot Microfin IPO subscribed 11 times, microfinance sector bets placed",Economic Times
Muthoot Microfin,"Muthoot Microfin lists below issue price, sector headwinds cause concern",Moneycontrol
Muthoot Microfin,"Microfinance sector under severe stress, Muthoot faces serious NPA risk",Business Standard
DAM Capital,"DAM Capital IPO subscribed 82 times, investment banking sector heats up",Economic Times
DAM Capital,"DAM Capital lists at 86% premium, strong debut for capital markets firm",Moneycontrol
DAM Capital,"DAM Capital strong deal pipeline, profitability well established for years",Business Standard
DAM Capital,"DAM Capital niche player in growing India investment banking market",Mint
Vishal Mega Mart,"Vishal Mega Mart IPO subscribed 27 times, value retail theme attracts investors",Economic Times
Vishal Mega Mart,"Vishal Mega Mart lists at 27% premium, value retail play works well",Moneycontrol
Vishal Mega Mart,"Vishal Mega Mart faces competition from DMart and Reliance Retail strongly",Business Standard
Inox India,"Inox India IPO subscribed 61 times, industrial gases sector boom plays out",Economic Times
Inox India,"Inox India lists at 74% premium, strong debut for industrial gases company",Moneycontrol
Inox India,"Inox India strong order book, long term growth visibility extremely positive",Business Standard
Campus Activewear,"Campus Activewear IPO subscribed 51 times, sports footwear sector heats up",Economic Times
Campus Activewear,"Campus Activewear lists at 31% premium, footwear brand makes decent debut",Moneycontrol
Campus Activewear,"Campus Activewear faces competition from Nike Adidas and Puma strongly",Business Standard
Vedant Fashions,"Vedant Fashions IPO subscribed 2.57 times, ethnic wear brand goes public",Economic Times
Vedant Fashions,"Vedant Fashions Manyavar brand strong recall, long term story intact",Moneycontrol
Vedant Fashions,"Vedant Fashions profitable and growing, solid fundamentals impress analysts",Business Standard
Star Health Insurance,"Star Health Insurance IPO subscribed 3.2 times, health insurance sector grows",Economic Times
Star Health Insurance,"Star Health lists below expectations, insurance sector remains under pressure",Moneycontrol
Star Health Insurance,"Star Health Insurance Rakesh Jhunjhunwala backed company faces headwinds",Business Standard
Droom Technology,"Droom Technology IPO weak subscription, used car platform struggles to excite",Economic Times
Droom Technology,"Droom Technology lists below issue price, auto tech sector disappoints market",Moneycontrol
Droom Technology,"Droom Technology faces intense competition from Cars24 and CarDekho strongly",Business Standard
Zaggle Prepaid,"Zaggle Prepaid IPO subscribed 11 times, fintech payments sector grows fast",Economic Times
Zaggle Prepaid,"Zaggle Prepaid lists with small gain, B2B fintech model steady and stable",Moneycontrol
Zaggle Prepaid,"Zaggle Prepaid profitable B2B fintech with strong corporate client base",Business Standard
